Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora galbinifrons	Unassigned	204968
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Emydura	Emydura sp.	Unassigned	2060765
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Elseya	Elseya schultzei	Unassigned	2080844
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Chelodina	Chelodina steindachneri	Unassigned	2080851
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Elseya	Elseya sp. XZ-2018a	Unassigned	2080853
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Elseya	Elseya sp. XZ-2018b	Unassigned	2080855
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis guntheri	Unassigned	2203395
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon stejnegeri	Unassigned	2268911
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Nilssonia	Nilssonia formosa	Unassigned	227454
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Rafetus	Rafetus euphraticus	Unassigned	227459
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Chitra	Chitra vandijki	Unassigned	227462
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Cycloderma	Cycloderma aubryi	Unassigned	227465
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Lissemys	Lissemys scutata	Unassigned	227466
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Cyclanorbis	Cyclanorbis senegalensis	Unassigned	227468
Eukaryota	Chordata	Unassigned	Testudines	Podocnemididae	Podocnemis	Podocnemis unifilis	Unassigned	227871
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Melanochelys	Melanochelys trijuga	Melanochelys trijuga edeniana	232872
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Mesoclemmys	Mesoclemmys hogei	Unassigned	241399
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora mccordi	Unassigned	241437
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora picturata	Unassigned	241440
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora bourreti	Unassigned	241441
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Pelodiscus	Pelodiscus axenaria	Unassigned	246115
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Emydura	Emydura subglobosa	Unassigned	251359
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Pangshura	Pangshura smithii	Unassigned	254399
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Kinixys	Kinixys erosa	Unassigned	254401
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Elseya	Elseya sp.	Unassigned	2563987
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Indotestudo	Indotestudo forstenii	Unassigned	260613
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Manouria	Manouria emys	Unassigned	260614
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys reevesii	Unassigned	260615
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cyclemys	Cyclemys tcheponensis	Unassigned	260618
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys megalocephala	Unassigned	260622
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Heosemys	Heosemys annandalii	Unassigned	260624
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora mouhotii	Unassigned	260627
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Heosemys	Heosemys depressa	Unassigned	260628
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Mauremys	Mauremys sinensis	Unassigned	260630
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cyclemys	Cyclemys atripons	Unassigned	260631
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Indotestudo	Indotestudo travancorica	Unassigned	260633
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Geoclemys	Geoclemys hamiltonii	Unassigned	260639
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys melanosterna	Unassigned	260641
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Pangshura	Pangshura tecta	Unassigned	260642
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Pangshura	Pangshura tentoria	Unassigned	260643
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Pangshura	Pangshura tentoria	Pangshura tentoria flaviventer	260644
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Pangshura	Pangshura tentoria	Pangshura tentoria circumdata	260645
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys punctularia	Unassigned	260647
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys punctularia	Rhinoclemmys punctularia punctularia	260648
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys pulcherrima	Unassigned	260649
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys pulcherrima	Rhinoclemmys pulcherrima incisa	260650
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys funerea	Unassigned	260651
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys areolata	Unassigned	260652
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys diademata	Unassigned	260653
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys annulata	Unassigned	260654
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Rhinoclemmys	Rhinoclemmys rubida	Unassigned	260655
